LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/min),(pixel/min),(pixel),(min),(pixel),(pixel),(pixel),
ID21672 → ID22000,0,21672,22000,7.2609458070697315,1.458552901814804,2.694614222308962,2.694614222308962,75.5,912.1487997514741,283.8715345926959,0.0,
ID11941 → ID12177,0,11941,12177,10.216988304241653,0.3960839492293604,3.1964024002371247,3.1964024002371247,39.5,914.365025800919,323.1844488782534,0.0,
ID19800 → ID20051,0,19800,20051,5.033443483540746,0.4541600493825155,2.2435337045698125,2.2435337045698125,68.5,945.5272537030971,285.9779115260036,0.0,
ID21668 → ID21886,0,21668,21886,1.6639661614771881,2.959188544724126,1.2899481235604742,1.2899481235604742,75.5,932.99942170287,227.896925108132,0.0,
ID3440 → ID3677,0,3440,3677,16.51038035920365,1.0636135209435071,4.063296735312799,4.063296735312799,6.5,922.2652334643795,339.99537051804475,0.0,
ID9295 → ID9579,0,9295,9579,5.810816283307277,2.798400938687176,2.4105634783816163,2.4105634783816163,29.5,911.8094532657897,310.14752635761215,0.0,
ID2969 → ID3205,0,2969,3205,1.6128204065289726,0.1953713866302946,1.2699686636011822,1.2699686636011822,4.5,925.610587891947,335.5071229820012,0.0,
ID23667 → ID23925,0,23667,23925,1.5193138188993098,1.7193069253262756,1.232604485996749,1.232604485996749,82.5,911.9552883575819,265.5899175238625,0.0,
ID13858 → ID14148,0,13858,14148,2.2784603427039687,1.794729795199846,1.509456969477424,1.509456969477424,46.5,917.8180609001171,311.9613499897756,0.0,
ID16502 → ID16713,0,16502,16713,2.9928684655227404,0.6765579505655637,1.729990885965224,1.729990885965224,56.5,929.0807519640853,304.85857650579874,0.0,
ID2503 → ID2735,0,2503,2735,0.0732223369703869,1.774005920835634,0.270596261929811,0.270596261929811,2.5,926.7489067055394,332.86734693877554,0.0,
ID9681 → ID9961,0,9681,9961,11.38493582705154,0.635762940663415,3.374157054295419,3.374157054295419,31.5,920.8692484915107,338.0408654220357,0.0,
